"year","Dictyocha_aculeata","D_brevispina","D_perlaevis","D_stapedia_s_str","D_stapedia_aspinosa","D_stapedida_spinosa","Distephanus_octangulatus","Ds_speculum_minutus","Ds_speculum_ornamentatum","Ds_speculum_speculum","Octactis_pulchra"
1778,34,0,4,22,0,0,0,14,0,26,0
1776,23,0,5,28,0,0,0,13,0,24,6
1774,21,0,0,59,0,0,0,7,0,8,4
1772,16,0,0,70,0,0,0,4,0,6,2
1770,26,0,0,62,0,0,0,4,0,8,0
1768,26,0,6,22,0,0,0,26,0,18,2
1766,24,0,0,20,0,0,2,36,0,18,0
1764,38,0,1,23,0,0,3,19,0,12,0
1762,25,0,2,15,0,0,16,27,0,12,3
1760,13,0,1,5,0,0,35,30,0,13,3
1758,16,0,5,3,1,0,34,22,0,13,7
1756,13,0,1,10,0,0,4,51,2,16,3
1754,15,0,10,6,0,0,1,39,0,20,9
1752,7,0,9,5,0,0,0,44,2,26,7
1750,16,0,0,26,0,0,0,32,0,25,1
1748,34,0,0,48,0,0,0,2,0,14,2
