Varve range,Bottom varve,Bottom year,Actinocyclus curvatulus,Alvelus marinus,Azpeitia africana,A. nodulifer,A. tabularis,Coscinodiscus radiatus,Cyclotella spp.,Delphineis spp.,Fragilariopsis doliolus,Hemidiscus cuneiformis,Neodenticula seminae,Nitzschia interruptestriata,N. sp. cf. N. sicula,Pseudonitzschia australis,Pseudonitzschia multiseries,Rhizosolenia spp.,Roperia tesselata,Stephanopyxis spp.,Thalassionema nitzschioides,Thalassiosira eccentrica,T. lineata,T. oestrupii,T. pacifica,T. spp.,Thalassiothrix longissima,Other planktic,Actinoptychus spp.,Paralia sulcata,Benthic,Freshwater planktic,Reworked,Total counted
 57-59,59,1943,2,0,0,0,1,7,5,0,22,0,0,5,0,0,0,1,1,0,19,3,0,1,0,6,1,6,8,0,11,1,0,308
 59-61,61,1941,2,0,0,0,1,6,4,0,19,1,0,5,0,0,0,4,0,0,23,7,0,0,0,8,1,4,2,0,11,0,1,313
 61-63,63,1939,1,0,0,0,0,6,8,0,12,0,0,1,0,0,0,1,1,0,33,5,1,0,1,8,2,6,2,0,8,1,0,306
 63-65,65,1937,1,0,0,0,0,4,5,0,7,0,0,3,0,0,0,1,1,0,39,6,1,0,0,7,4,4,3,1,12,0,1,305
 65-67,67,1935,1,0,0,0,0,7,4,0,11,0,0,4,0,0,0,0,0,0,40,3,0,0,0,5,1,1,1,0,21,0,0,306
 67-69,69,1933,1,0,0,0,1,6,2,0,13,0,0,2,0,0,0,2,0,0,33,5,0,1,0,6,3,3,4,0,17,0,1,309
 69-71,71,1931,1,0,0,0,0,6,3,0,17,0,0,4,2,0,0,6,0,0,28,2,0,0,0,4,1,3,2,1,18,0,0,357
 71-73,73,1929,1,0,0,0,2,7,5,1,17,0,0,3,0,0,0,2,0,0,26,5,0,1,0,5,1,5,2,0,18,0,0,302
 73-75,75,1927,1,0,0,0,1,7,7,0,6,0,0,4,0,0,0,3,0,0,33,3,1,0,0,6,2,2,3,0,21,1,0,306
 75-77,77,1925,0,0,0,0,1,3,6,0,5,0,0,5,0,0,0,2,0,0,44,2,0,0,0,4,3,2,2,0,17,1,2,311
 77-79,79,1923,1,0,0,0,1,4,13,0,8,0,0,6,0,0,0,2,0,0,27,2,0,0,0,3,4,4,2,0,22,0,1,309
 79-81,81,1921,1,0,0,0,0,3,5,0,11,0,0,6,1,0,0,2,0,0,36,3,0,1,0,6,3,3,3,0,16,1,0,305
 81-83,83,1919,1,0,0,0,0,5,6,0,3,0,0,7,0,0,0,2,0,0,34,7,1,0,0,4,2,5,3,0,17,1,0,302
 83-85,85,1917,2,0,0,0,0,1,3,0,7,0,0,7,0,0,0,5,0,0,44,3,0,1,0,7,2,2,2,0,11,0,1,308
 85-87,87,1915,1,0,1,0,0,5,7,0,6,0,0,3,0,0,0,4,0,0,33,8,0,0,1,12,1,3,4,0,12,0,0,304
 87-89,89,1913,1,0,0,0,1,4,4,0,4,0,0,4,1,0,0,4,0,0,35,5,0,2,0,11,2,4,3,0,14,0,1,312
 89-91,91,1911,3,0,0,0,1,5,3,0,3,0,0,4,0,0,1,4,1,0,35,7,0,1,0,9,1,2,2,0,17,0,0,314
 91-93,93,1909,1,0,0,0,0,7,5,0,4,0,0,5,0,0,0,4,1,0,33,8,1,1,0,5,3,3,3,1,16,0,0,308
 93-95,95,1907,3,0,1,0,2,11,3,0,11,0,0,7,1,0,0,1,0,1,22,9,0,1,0,6,1,4,2,0,15,0,0,305
 95-97,97,1905,1,1,0,0,1,6,5,0,8,0,0,7,0,0,0,3,1,1,24,6,0,0,0,7,1,5,2,0,21,0,1,308
 97-99,99,1903,0,0,0,0,1,3,6,0,5,0,0,10,1,0,0,9,0,0,27,4,0,1,0,6,1,4,1,0,20,0,0,311
 99-101,101,1901,1,0,0,0,2,5,2,0,8,0,0,9,1,0,0,4,0,0,21,7,0,1,0,8,2,3,2,1,20,0,1,318
 101-103,103,1899,1,0,0,0,3,3,3,0,3,0,0,3,0,0,0,8,1,0,32,7,0,1,0,4,2,3,2,0,25,0,1,314
 103-105,105,1897,5,0,1,0,1,2,3,1,3,0,0,6,0,0,0,8,0,0,23,5,0,0,0,5,3,3,2,0,28,1,1,318
 105-107,107,1895,2,0,0,0,1,2,2,0,6,0,0,5,0,0,0,9,0,1,30,6,1,0,0,3,2,2,1,0,23,0,1,307
 107-109,109,1893,1,0,0,0,2,2,3,0,4,0,0,11,0,0,0,3,0,0,39,7,1,0,1,2,1,1,3,1,16,0,1,316
 109-111,111,1891,9,0,0,0,0,1,3,0,2,0,0,5,1,0,0,5,0,0,35,8,0,1,0,6,4,3,3,0,12,0,1,313
 111-113,113,1889,2,0,0,0,1,3,3,0,4,0,0,11,1,0,0,1,1,0,31,12,0,2,0,4,3,7,2,0,13,0,1,303
 113-115,115,1887,2,0,0,0,1,4,5,0,6,0,0,8,2,0,0,3,0,0,30,8,1,1,0,10,0,4,2,0,11,0,1,321
 115-117,117,1885,4,0,1,0,0,4,4,0,7,0,0,7,1,0,0,5,0,0,25,10,1,4,1,9,1,5,5,0,6,0,0,309
 117-119,119,1883,2,0,0,0,0,4,1,0,4,0,0,9,1,0,0,14,0,0,35,4,1,3,0,4,1,3,1,0,12,0,1,303
 119-121,121,1881,2,0,0,0,1,6,4,0,4,0,0,6,2,0,0,5,1,1,35,4,1,1,0,3,1,2,1,0,20,0,0,303
 121-123,123,1879,4,0,0,0,0,2,4,0,3,0,0,6,0,0,0,8,0,0,32,10,1,0,0,2,0,4,4,0,15,0,1,301
 123-125,125,1877,1,0,0,0,0,1,3,0,2,0,0,4,1,0,0,26,0,0,23,9,0,1,0,8,0,3,3,0,12,0,1,301
 125-127,127,1875,0,0,0,0,0,4,2,0,2,0,0,7,0,0,0,23,0,0,26,7,1,1,0,5,1,4,2,0,13,0,1,307
 127-129,129,1873,1,0,0,1,1,4,5,1,7,0,0,7,0,0,0,25,0,0,19,4,0,0,0,6,2,2,3,0,12,0,1,323
129-131,131,1871,1,0,0,0,0,3,8,0,9,0,0,6,0,0,0,12,0,0,24,7,1,0,1,8,1,3,7,0,8,0,0,316
131-133,133,1869,2,0,0,0,1,2,4,0,7,0,0,4,0,0,0,19,1,0,27,5,1,0,0,9,0,6,4,0,7,0,0,305
133-135,135,1867,1,0,0,0,1,1,0,0,3,0,0,6,1,0,1,58,0,0,12,2,0,0,0,4,0,3,1,0,7,0,1,316
135-137,137,1865,1,0,0,0,0,2,1,0,1,0,0,8,0,0,0,36,0,0,20,3,1,0,0,3,0,2,3,0,15,0,0,318
137-139,139,1863,9,0,0,0,1,2,1,0,3,0,0,6,0,0,0,7,0,0,31,10,0,2,0,4,1,3,1,1,16,0,1,307
139-141,141,1861,4,0,0,0,0,3,2,0,3,0,0,6,0,0,0,15,0,0,28,6,0,0,0,7,2,2,3,0,15,0,1,311
141-143,143,1859,1,0,0,0,1,6,4,0,13,0,0,3,0,0,0,4,0,0,21,6,1,1,1,7,3,4,6,0,17,0,0,302
143-145,145,1857,2,0,0,0,2,4,6,0,11,0,0,4,0,0,0,13,0,0,23,6,0,1,0,6,1,3,3,1,11,0,1,312
145-147,147,1855,0,0,0,0,2,2,2,0,4,0,0,5,0,0,0,27,1,0,32,5,0,0,0,3,2,2,3,0,10,0,0,308
147-149,149,1853,2,0,0,0,0,3,2,0,8,0,0,8,0,0,0,5,1,0,30,7,0,0,0,6,1,3,5,0,15,0,1,305
149-151,151,1851,1,0,0,0,1,5,4,0,7,0,0,7,1,0,0,11,0,0,34,1,0,0,0,3,3,2,3,0,15,0,0,303
151-153,153,1849,3,0,0,0,1,7,3,0,7,0,0,6,0,0,0,7,1,0,27,5,0,1,0,4,3,1,2,1,19,0,1,321
153-155,155,1847,2,0,1,1,0,6,4,0,12,1,0,6,0,0,0,2,0,0,30,3,0,1,0,4,2,3,3,2,16,0,1,311
155-157,157,1845,1,0,0,1,0,6,3,0,21,1,0,4,0,0,0,1,0,0,31,5,0,0,0,3,1,4,3,0,12,0,1,324
157-159,159,1843,1,0,0,0,1,5,6,0,24,1,0,6,0,0,0,2,0,0,29,5,0,1,0,4,2,1,3,0,8,1,1,307
159-161,161,1841,1,0,0,0,1,3,2,0,17,0,0,5,0,0,0,3,1,0,33,6,0,0,0,5,1,3,2,0,14,1,1,303
161-163,163,1839,1,0,1,0,0,1,2,0,16,0,0,5,1,0,0,1,0,0,39,5,0,0,0,6,2,2,2,0,15,0,1,305
163-165,165,1837,2,0,0,0,1,8,6,0,16,0,0,3,0,0,0,2,0,0,33,4,0,1,0,4,3,2,3,0,13,0,0,319
165-167,167,1835,1,0,1,0,0,5,5,0,11,0,0,5,1,0,0,2,0,0,33,7,0,0,1,6,1,4,2,0,12,0,2,308
167-168.5,168.5,1833.5,2,0,0,0,0,6,4,0,9,0,0,7,0,0,0,6,1,0,28,7,1,0,0,4,3,3,2,0,14,0,1,327
168.5-170,170,1832,2,0,0,0,1,3,6,0,15,0,0,6,0,0,0,5,1,1,25,3,0,1,0,3,3,2,3,1,17,0,0,302
170d-172,172,1830,1,1,0,0,1,13,3,0,7,0,0,3,0,0,0,5,0,1,29,4,0,1,0,3,2,2,2,1,17,1,2,312
172-174,174,1828,2,0,0,0,1,9,6,0,9,0,0,2,0,0,0,4,0,0,35,5,0,0,0,1,3,1,2,0,17,0,2,305
174-176,176,1826,2,0,0,0,1,5,4,0,5,0,0,2,0,0,0,2,0,0,36,3,0,2,0,2,4,3,2,0,26,1,1,322
176-178,178,1824,2,0,0,0,2,10,4,0,4,0,0,4,0,0,0,4,0,0,37,4,0,0,0,2,3,5,1,1,17,0,1,332
178-180,180,1822,1,0,1,0,1,6,4,0,8,0,0,3,0,0,0,1,0,0,34,2,0,0,0,1,4,1,1,0,27,0,2,309
180-182,182,1820,2,0,0,0,1,9,5,0,9,0,0,4,1,0,0,3,1,0,30,1,0,0,0,3,3,2,4,1,19,0,2,310
